Country,Total,Animals,Autos,Comedy,Education,Entertainment,Film,Games,Howto,Music,News,Nonprofit,People,Sports,Tech
United States,290,3,0,16,17,93,10,24,12,80,3,1,21,6,4
India,163,0,0,12,15,45,12,4,6,38,14,0,10,0,5
Brazil,61,0,0,4,1,24,4,5,2,14,0,1,5,0,1
United Kingdom,42,0,0,1,1,16,2,4,0,15,1,0,0,1,1
Mexico,33,0,0,3,3,8,2,5,4,2,0,0,6,0,0
Indonesia,27,0,0,1,1,19,0,3,1,0,1,0,1,0,0
Spain,22,0,0,1,2,2,0,10,0,4,0,0,0,2,0
Thailand,18,0,0,0,0,10,1,1,0,4,2,0,0,0,0
Russia,16,0,0,0,1,5,1,4,0,0,1,0,4,0,0
South Korea,15,0,0,0,0,5,0,1,0,7,0,0,2,0,0
Canada,15,0,0,1,1,5,0,3,0,3,0,0,0,0,2
Argentina,13,0,0,1,1,3,0,3,0,4,0,0,1,0,0
Colombia,11,0,0,1,0,1,0,0,1,7,0,0,1,0,0
Philippines,10,0,0,0,0,4,0,0,0,1,4,0,1,0,0
Saudi Arabia,9,0,0,0,0,3,1,3,0,2,0,0,0,0,0
Ukraine,8,0,0,0,0,5,0,0,1,0,1,0,1,0,0
Australia,8,0,0,0,0,0,0,2,2,1,0,0,2,1,0
Germany,6,0,0,1,1,1,0,1,0,0,0,0,0,0,1
Japan,5,0,1,1,0,3,0,0,0,0,0,0,0,0,0
United Arab Emirates,5,0,1,0,0,2,0,0,0,0,1,0,1,0,0
France,5,0,0,1,0,2,0,0,0,2,0,0,0,0,0
Pakistan,5,0,0,0,0,3,0,0,0,0,1,0,0,0,0
Sweden,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Vietnam,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0
Turkey,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0
Jordan,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Chile,3,0,0,0,0,0,0,2,0,0,0,0,1,0,0
Netherlands,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0
Ecuador,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Egypt,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Iraq,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Singapore,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Italy,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
El Salvador,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Afghanistan,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cuba,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Latvia,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Switzerland,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Barbados,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Malaysia,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
China,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Venezuela,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kuwait,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Morocco,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Peru,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Bangladesh,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Finland,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Samoa,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
